Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,4,0,2,Export,376,Israel,ISR,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,12369354,,12369354,,5405000,,,6
H3,2010,2010,2010,4,0,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,138290583,,138290583,,90266252,,,0
H3,2010,2010,2010,4,0,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,263949377,,263949377,,101045723,,,0
H3,2010,2010,2010,4,0,1,Import,384,Côte d'Ivoire,CIV,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,4668564,,4668564,,2192215,,,0
H3,2010,2010,2010,4,0,2,Export,384,Côte d'Ivoire,CIV,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,22000,,22000,,43003,,,0
H3,2010,2010,2010,4,0,1,Import,388,Jamaica,JAM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,3289,,3289,,10397,,,0
H3,2010,2010,2010,4,0,2,Export,388,Jamaica,JAM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,25635,,25635,,120993,,,0
H3,2010,2010,2010,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,1775748,,1775748,,1872082,,,0
H3,2010,2010,2010,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,1638962215,,1638962215,,820317146,,,0
H3,2010,2010,2010,4,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,10,,10,,27,,,0
